,title,text,subject,date
0, President Obama Officially Endorses Hillary Clinton For President (VIDEO),"After staying neutral for more than a year, President Barack Obama has formally endorsed presumptive Democratic nominee Hillary Clinton for President of the United States via a video announcement from the White House.Saying,  I don t think there s ever been someone more qualified to hold this office,  President Obama s much sought after endorsement comes after a personal meeting with Senator Bernie Sanders, who has vowed to fight on into the D.C. primary next Tuesday.In the video released by the President, Obama congratulated Hillary Clinton on making history, and praised her as the next president, saying: I want to congratulate Hillary Clinton on making history as the presumptive Democratic nominee for President of the United States. Look, I know how hard this job can be. That s why I know Hillary will be so good at it   she s got the courage, the compassion, and the heart to get the job done. And I say that as someone who had to debate her more tan 20 times. The President went on to thank the Democratic nominee for serving her country as Secretary of State, praising her judgment, toughness and commitment to American values: So I want those of you who have been with me from the beginning of this incredible journey to be the first to know that I m with her. I am fired up and I cannot wait to get out there and campaign for Hillary. Wrapping up, President Obama thanked the millions of voters who came out in the primaries, and promised Democratic unity. But Obama specifically thanked Senator Bernie Sanders, who he says ran an  incredible  campaign, for bringing out thousands   perhaps even millions -of new, young voters and energizing the party. He also thanked the Senator for bringing the issue of income inequality and big money to the forefront of the debate, something he thinks will be good for November.Thanking these two  patriots,  President Obama is calling on Democrats to get out and vote for a brighter future.With poll numbers high, and his promise to take on Trump head on, could Clinton ask for a better campaign surrogate than President Obama?Watch President Obama s endorsement here:Featured image via video screen capture",News,"June 9, 2016"
1, Michael Moore Says He Is ‘Absolutely’ Convinced Trump Will Ban Muslims,"Filmmaker and activist Michael Moore said there is no doubt in his mind that Donald Trump will go through with banning Muslims from the United States, just like he said he would.Speaking to Variety, Moore said that he has already done his grieving over Trump s win, which he saw coming long before it became a reality. I went through my five stages of grief months and months ago when I realized he was going to win,  he said.Moore said that he has  taken him literally and seriously since day one,  which is why he fully expects Trump to do all the horrible things he said he would on the campaign trail, like building a wall along our southern border to keep out all the rapey Mexicans. You do have to take Trump at his word,  Moore said.  I still hear people say,  Oh, he s not really going to build the wall.  Oh, he is going to build it. He knows that he s got to deliver at least a version of the wall. This, Moore explained, is why he  absolutely  believes Trump will go through with enacting his Muslim ban. He s shown how he s going to do it,  Moore said.  He s going to get away with it by making it a ban on Muslims who come from the following countries. He needs just enough cover for his crowd to say,  Oh, he s being reasonable there. He s not banning all Muslims. Moore also said that he was profoundly affected by Meryl Streep s powerful speech denouncing Trump at the Golden Globes. I had tears in my eyes,  Moore said.  It was so powerfully delivered by the perfect person. She was talking about human empathy. It was not about being a Republican or a Democrat. It was about: Have you no decency, sir? Trump s supporters like to say that they don t take what he says literally. But that is a mistake. As Maya Angelou said,  When someone shows you who they are, believe them the first time.  We know who Trump is. And we also know it s going to be a long four years.Featured image via Kevin Winter/Getty Images For AFI",News,"January 17, 2017"
2, Trump’s Son BAFFLED As To Why His Racist Dad’s Anti-Hispanic Talk Pisses Off Hispanics,"Following the mass exodus of Hispanic surrogates from Trump s campaign, Eric Trump is pretty confused. After all, his dad has been very, very consistent about his plans on immigration, so why would they do this to the saintly candidate? Eric seems to think that, since nothing has changed, there s no reason for Hispanic advocates to be upset.He really doesn t get it. In an appearance on Fox & Friends, he actually said: [It] is actually pretty amazing considering the speech was actually very consistent and he has been very, very consistent with his plan. It s really interesting. What s interesting is not that Hispanics are now fleeing Trump   it s that Eric thinks his consistency should resonate with them.Trump went to Mexico to meet with President Enrique Pe a Nieto after appearing to soften his position on undocumented immigrants. So is it really any wonder that this return to his angry, heartless, racist stance that Hispanics are the enemy to  real  Americans feels like a betrayal?One particular surrogate who has worked very hard to convince Latinos to vote for Trump, Jacob Monty, resigned after Trump s speech on Wednesday night. He laid it all out in his explanation for leaving: I was a strong supporter of Donald Trump when I believed he was going to address the immigration problem realistically and compassionately. What I heard today was not realistic and not compassionate. Ramiro Pena, a church pastor in Texas, likewise yanked his support, saying: I am so sorry but I believe Mr. Trump lost the election tonight. The  National Hispanic Advisory Council  seems to be simply for optics and I do not have the time or energy for a scam. Everything Trump does for minority outreach is just for show. His visit to a black church in Detroit is nothing but a show, too. He s performing for an audience because that s all he knows how to do. Being serious about this is an alien concept to him. Republicans know it and are actually trying to figure out how to reach more white people because they ve given up on Trump ever reaching minorities. His  outreach  is too little, too late, and a total lie.Eric here is wearing his blinders a little too tightly. He hopes that clarifying Trump s message to these guys will turn them around, and he actually voiced the following clueless words: It s very important to us. If you look at the Hispanic community and the Latino community, they ve largely been left behind in this country. But his father talking about splitting up families and wasting ungodly amounts of money on a wall and on deportation isn t going to leave these communities further back in the dust? Har de har har, don t make us laugh too hard. It hurts.Eric Trump should at least have an idea that a consistent message targeting and alienating a group is just going to consistently piss them off. Eventually, people get tired of hoping someone will change, and they just walk away.Featured image by Joe Raedle/Getty Images",News,"September 2, 2016"
3, Mississippi Baker Who Made Cake For Republican Governor Publicly Humiliates Him,"Mississippi Republicans should worry about the billions of federal dollars they are about to lose but they should also worry about the Christian bakers they have pissed off.Just a few days ago, bakery owner Mitchell Moore blasted Republicans in his state for passing an anti-LGBT law that allows bigoted Christians to discriminate against employees and customers at will for any reason as long as they hide behind a so-called  sincerely held religious belief  to do so. The assumption that they think that they re looking out for us   that s not what they are doing,  Moore said during an interview about the new law, known as HB 1523.  We rank number one   our state government is the most dependent on federal money. We are the third most obese state. We rank at the bottom in unemployment, in education. We ve got crumbling infrastructure. None of them are being tackled. Instead, we are passing, hey-let s-discriminate bills. And now, a baker who made a cake for Governor Phil Bryant s inauguration is humiliating him and his Republican allies for making it difficult to be proud of Mississippi. Look Governor Bryant, we will make cakes for anyone!  Biloxi Cake Artist Extraordinaire Jennifer Noble wrote on Facebook underneath an image of her posing with Bryant.  Including backwards thinking politicians that make it hard to be proud of being a Mississippian. We never wanted this. Quit using our industry as an excuse to deny the separation of church and state. She then announced that she had removed the picture she took with Bryant and said she regrets posing for the photo now and is embarrassed she ever posted the picture on her page.Here s the full post via Facebook:So far, Noble s Facebook post has drawn nothing but positive responses and applause while Governor Bryant is still getting hammered for signing the discriminatory bill into law.And rightfully so. Bryant and his fellow Republicans should be ashamed of themselves for passing such a law and they should work to repeal it as soon as possible before Mississippi businesses decide that denying services to Republican lawmakers is their own  sincerely held religious belief. Featured Image: Facebook",News,"April 12, 2016"
4,WHAT THE HECK Is Going On In Las Vegas? VIDEO PROOF That Las Vegas Coroner’s Office Is On LOCKDOWN,"When people say  What happens in Las Vegas, stays in Las Vegas.  they apparently aren t  kidding around Suspicion about what is going on in the Las Vegas massacre investigation is at an all-time high. Americans want to know, and frankly, we have a right to know what happened in Las Vegas the night of the Rt. 91 Music Festival, where 59 people were killed and 527 were injured.  It s almost eery how quickly the Las Vegas investigation has fallen off the radar of the mainstream media, who don t seem to be interested in finding out what really happened, and even appear to be giving up on using the massacre to promote their gun-control agenda.A worker at the Mandalay Bay hotel said Wednesday that he warned staff at the complex to report an active shooter before gunman Stephen Paddock launched his massacre on crowds at a music festival below the venue.The revelation has added to doubts about the initial timeline given by authorities about what happened Oct. 1. They had said the assault began with Paddock opening fire on concertgoers at the Route 91 Festival.But the new account alleges that an unarmed guard Jesus Campos who was initially believed to have approached and been shot by Paddock during his massacre was shot before the assault, with that gunshot heard by a maintenance worker.JESUS IS BEING PROTECTED BY AN ARMED SECURITY GUARD WHO REFUSES TO SAY WHO S PAYING HIMIndependent investigative journalist Laura Loomer paid a visit to the home of the  hero  Mandalay Bay Casino and Resort  security guard  who was allegedly shot by the Las Vegas shooter Steven Paddock. Loomer can be seen having a conversation with a paid security guard who refused to say who was paying him to stand in front of Campos  home. Who is this guy and why is he there?Watch:Investigative Journalist Laura Loomer visits Mandalay Bay ""Hero"" Security Guard Jesus Campos @ His House @miketokes https://t.co/6L0T6ADzPa  Laura Loomer (@LauraLoomer) October 12, 2017JESUS CAMPOS DOESN T APPEAR TO BE REGISTERED AS A SECURITY GUARD IN LAS VEGAS AS REQUIRED BY LAWEvery security guard in the state of Nevada has to register as an armed or unarmed guard with the state s Private Investigator s Licensing Board (PILB). This entity s records are publicly searchable at: nevadapilb.glsuite.us.There s no Jesus Campos licensed with the PILB. Here s a close up look at the NV PI Licensing Board:The document above was released by pol News Infinity who has done some amazing investigative work on a number of cases. The pol News Infinity Twitter account has since been SUSPENDED.JESUS CAMPOS IS A NO SHOW FOR PRESS CONFERENCE AND SEAN HANNITY INTERVIEWThe same day that Loomer paid a visit to Campos  home, Jesus Campos had a press conference and interview with Sean Hannity scheduled for later in the day. Campos abruptly canceled the press conference and the interview with Sean Hannity.Media scrum tonight as we learn security officer shot in Vegas attack, Jesus Campos  whereabouts are unknown. pic.twitter.com/Jk09tRlPsX  Stephanie Wash (@WashNews) October 13, 2017We were in a room and we came out and he was gone,  Campos  union president told reporters, according to ABC News  Stephanie Wash.Campos is represented by the International Union, Security, Police and Fire Professionals of America, which did not respond to requests for comment from Fox News earlier this week.Fox News  Sean Hannity tweeted out that Campos, who was scheduled to appear on  Hannity  Thursday night,  cancelled  his appearance.He cancelled. https://t.co/fWCb4X8cNQ  Sean Hannity (@seanhannity) October 13, 2017JESUS CAMPOS AGREES TO GIVE A  SCRIPTED  INTERVIEW WITH ELLEN DEGENERES ON HER SHOW. HIS APPEARANCE ON THE SHOW IS SHOCKINGLY DIFFERENT THAN THE IMAGE THAT  S BEEN CIRCULATING OF HIM IN THE MEDIAAn announcement was made last week that Jesus Campus would appear on the Ellen Show. Jesus did appear on the show, but given the original photo of Campos that was being used in the media and a quick snapshot from his appearance on the Ellen Show, two things really jump out. The first thing that jumps out is the incredible 1-week weight gain that Campos had experienced, and the second is the missing moles that were very prominent in the photo below, that was allegedly taken only one week before his  performance  on the Ellen Show.#Jesuscampos in 5 days, gained 50 LB, had moles removed from his face, has no injury to forehead but had bandage on it 5 days before? pic.twitter.com/TlT6Mt0eyZ  Fed Up Lilly   (@FedUpLilly) October 21, 2017MGM ADMITS TO ALLOWING CAMPOS TO ONLY APPEAR ON THE ELLEN SHOW IN AN EFFORT TO MAKE SURE HE KEPT HIS STORY STRAIGHTFearing Jesus Campos would  spill the beans  about the timeline of the shooting if he was grilled by proper journalists, MGM, which owns the hotel where deranged gunman Stephen Paddock shot 600 people, insisted that security officer appear ONLY on only appear on Ellen, DailyMail.com has learned exclusively.MGM is worried that families of the 58 people murdered as well as many of the 546 injured in the Mandalay Bay massacre will launch lawsuits potentially worth billions of dollars against the company, sources tell DailyMail.com.And they thought Campos might not keep his story straight under the pressure of the TV lights and tough questioning.That is why Campos, 25, appeared on a daytime chat show hosted by a fast-talking, dancing comedienne, rather than take questions from TV hardhitters such as Fox News  Sean Hannity, CNN s Wolf Blitzer or MSNBC s Rachel Maddow. MGM was behind the decision to call off all the interviews and did a deal with Ellen, knowing she would not play hardball on the timeline as long as she had the exclusive,  a TV insider told DailyMail.com.Here s a closer look at the images:And now, citizen journalist Mike Tokes has uncovered what is indeed a very suspicious development. Tokes traveled to the Las Vegas coroners office to see if he could get some answers from the Clark County Coroner and Medical Examiner John Fudenberg. What Tokes got when he attempted to enter the Las Vegas Coroner s office was a woman by the name of  Laurie  who informed him that the coroner s office was on lockdown and would remain on lockdown  at least until the end of the week . When Tokes asked if it was unusual for the office to be on lockdown, she replied,  We ve never had a situation like this. Watch:VIDEO PROOF: Las Vegas Coroner's office on LOCKDOWN with police units stationed on each side of the building.This is very suspicious. pic.twitter.com/CMBnWzmFRp  Mike Tokes (@MikeTokes) October 21, 2017Cori Langdon, a Las Vegas cab driver recorded her harrowing experience as she entered the Mandalay Bay Casino at about the same time gunshots were first being fired into the crowd at the Rt 91 country music festival in Las Vegas.Langdon was using her phone to videotape, as she was pulling into the Mandalay Bay Casino when she heard gunshots. She can be heard telling the dispatch operator for her cab service that she hears what  sounds like automatic gunfire.  Cori Langdon hears more gunfire, and tells her dispatch operator that the gunshots sound like they re coming from a completely different area:  Now it sounds like its coming from farther away. After listening to Langdon s video recording of the event as it unfolded, one can t help but wonder if it s possible there was more than one shooter.Automatic gunshots are still being heard from the cab. Langdon tells her dispatch person:  Somethings going on. I m not sure why people aren t  running, but. There s a security guard, what s he doing? Ya know, for there being gunfire, it sure doesn t seem like people are runnin .  Oh, shit! Seriously? I don t know what s goin  on? Where are the cops at? I m right here by the porch of Mandalay Bay, and everything seems to be normal here.  More and more rapid-fire gunshots are heard. The radio dispatcher replies,  Remember, what happens in Vegas, stays in Vegas. And everything seems normal when it s not. Watch, as Ed Rusiackas dissects what happened as Langdon approached the Mandalay Bay Casino and Resort, giving what many believe is evidence that there was more than one shooter:Here s the video in its entirety:Here s the Ellen Show interview in entirety:",politics,"Oct 21, 2017"
5,[Video] DUCK DYNASTY’S WILLIE ROBERTSON LOVES DONALD TRUMP AND HERE’S WHY…,Willie s support should come as no surprise to fans of Duck Dynasty. He s a business man who doesn t mince words or worry about what others think sound familiar?,politics,"Jul 24, 2015"
6, WATCH: Reporters DRAG Sarah Huckabee Sanders In Brilliant Fact-Check (VIDEO),"Donald Trump is having a hard time recovering from his fallen soldier debacle, not only because he continues to make it worse, but because America is tired of his nonsense and demands the truth.It was only yesterday that White House Chief of Staff John Kelly infuriated everyone by criticizing Rep. Frederica Wilson for calling Trump out for disrespecting a Gold Star widow. Kelly also went after Wilson for an old speech in 2015, stating that she d bragged about how she had gotten money for the FBI acknowledging two deceased agents. Little did Kelly know, this lie would ignite a sh*tstorm for the Trump administration.Earlier today, White House press secretary Sarah Huckabee Sanders was the unfortunate recipient of the media s frustration with the dishonest Trump administration. Reporters blasted Sanders with questions in the press briefing, directly pointing out that Wilson s FBI speech completely contradicted Kelly s claims. When a reporter boldly pointed out that Wilson had never boasted about funding in her speech, Sanders stumbled through her response: Absolutely, General Kelly was stunned that Representative Wilson made comments at a building dedication honoring slain FBI agents about her own actions in Congress, including lobbying former President Obama on legislation. As he pointed out, if you re able to make a sacred act like honoring American heroes all about yourself, you re an empty barrel. Or as we say in the South, all hat, no cattle. This was hardly the end for Sanders. Because she d defended Kelly despite being faced with facts that challenged his claims, reporters attacked her and asked if she d even seen the speech. Sanders claimed she had, and a reporter pointed out that she should know that Wilson actually praised the FBI agents and didn t talk about funding. Even as her spot was completely blown up, Sanders pathetically defended Kelly.The icing on the cake was when a reporter asked if Kelly would respond to more questions over the matter. When Sanders said he already had yesterday, the reporter pointed out: He was wrong yesterday! As usual, the Trump administration responded with intimidation and bullying. Sanders fired back: If you want to go after General Kelly, that s up to you. If you want to get into a debate with the four-star Marine general, I think that s something highly inappropriate. Go ahead. You can watch Sanders get grilled by reporters below:Featured image via Chip Somodevilla / Getty Images",News,"October 20, 2017"
7,BRUCE SPRINGSTEEN Reveals The Shocking Truth About His Rock Anthem “Born In The USA”,"The truth about Springsteen is so disappointing (see below) but this one takes the cake!Bruce Springsteen has been a sellout all these years. He s not the person he portrayed himself to be to the American people.He just revealed he nearly gave up  one of his most iconic anthems Born In The USA, admitting he believed it was too insincere and  glib . He said he doesn t  feel comfortable  singing the song. It s almost like he s apologizing for appearing to be patriotic. Are you thinking what we re thinking? He sang that song so many times but never felt ok singing it? That s the difference between Springsteen and someone like Lee Greenwood. Lee Greenwood has always been a passionate and fearless supporter of America and the American way. Springsteen is just a phony Speaking at a Q&A session with Tom Hanks at the Tribeca Film Festival, the 67-year-old rocker opened up to the Oscar-winning actor, insisting that it was E Street Band guitarist Stevie Van Zandt who convinced him to keep the 1984 hit.Springsteen s memorable tune was written in part tribute to friends who had served in the American Army during the Vietnam War and the ironic treatment of the veterans upon their return home. He divulged:  Stevie [Van Zandt, longtime guitarist in the E Street Band] convinced me to keep that song. I remember at the time thinking it s too glib. It s too glib. I think I still think that. But Stevie said,  No, no, no   it s about the band, the brotherhood of the band, the fans. The New Jersey native   who has been married to Patti Scialfa since 1991   added that he gave his musical peer the  benefit of the doubt  but still doesn t feel quite comfortable with the song.Adding:  I gave him the benefit of the doubt. We ve played it an awful lot ever since. But I was always a little frightened of it. And the whole record I always have mixed feelings about.  Despite his feelings, the epochal song has received much praise throughout the years and was ranked 275th on Rolling Stone s list of The 500 Greatest Songs of All Time as well as placed on RIAA s Songs of the Century.The fan favorite and title track of his 1984 album of the same name inspired famed photographer Annie Leibovitz s iconic photo of Springsteen s backside against the backdrop of an American flag for the record cover. Commenting on the concept in 1984, the Medal of Freedom recipient told Rolling Stone:  We had the flag on the cover because the first song was called  Born in the U.S.A. , and the theme of the record kind of follows from the themes I ve been writing about for at least the last six or seven years.Read more: Daily MailSPRINGSTEEN JUST RELEASED A SONG THAT BASHES PRESIDENT TRUMP Bruce Springsteen aka  The Boss  is showing all of his fans just how out of touch he is with his latest song. He s been a fervent anti-Trump guy and has been very outspoken against President Donald Trump. His new protest song refers to Trump as a  con man . What a way to disrespect the leader of our nation! has Bruce Springsteen employed thousands of Americans? It s interesting that Trump just delivered one of the best ever speeches to the builders union. Please watch the video provided below of what a real working man does for his crew. It s an awesome speech that totally discounts everything Springsteen is trying to say to bash Trump. Shame on him!The 67-year-old rocker released his and Joe Grushecky s anti-Trump song, called  That s What Makes Us Great,  and it is a direct comment on the president and his administration, according to Pitchfork.Springsteen s part of the song goes as follows: Don t tell me a lieAnd sell it as a factI ve been down that road beforeAnd I ain t going back.And don t you brag to meThat you never read a bookI never put my faithIn a con man and his crooks.  During an interview with the Pittsburgh Post-Gazette, Gushecky talked about writing the song in January after Trump was sworn-in as president I had this song, and Bruce and I had been talking,  Grushecky said.  I sent it to him and he liked it. I said,  What do you think about singing on it?  He gave it the Bruce treatment. In February, Springsteen said he was an  embarrassed  American during a concert in Australia. On the same tour he attacked Trump s first travel ban as  un-American. Tonight we want to add our voice to the thousands of Americans who are protesting at airports around our country the Muslim ban and the detention of foreign nationals and refugees,  Springsteen told the crowd.  America is a nation of immigrants. This is fundamentally un-American. What a bunch of bull! Springsteen has lost his roots and his sense of the working man. If he cared to know anything about President Trump then he would know Trump s bringing back American jobs. He s working hard to get the steel industry up and running again. He just held a  Buy American, Hire American  event promoting keeping jobs in America. What s better than a president who s a builder speaking to builders and construction workers. In President Trump s speech he calls out people by name pretty great! He knows business and building. We re in good hands America! The era of economic surrender has come to an end. It s come to an end. We have surrendered as a country to outside interests. The era of economic victory for our country has just begun. You will see.. Oh, you will see    President Trump",politics,"Apr 30, 2017"
8, Trump Experiments With State-Run TV And Gets Laughed Off The Internet,"Well, it s happened. In the manner of every other authoritarian douchebag since the invention of mass communications, Donald Trump is now experimenting with state-run television.Now, he is having his daughter-in-law Lara Trump host a  real news  program (as opposed to all the  FAKE NEWS  organizations who insist on telling the truth about him) directly on his Facebook page. Want to know what President Trump did this week?  the post says.  Watch here for REAL news! Naturally, what followed was a grievous misrepresentation of what actually happened through the week   and most of it, if not all, had already been covered by the  FAKE NEWS  media and in press conferences (which are also apparently FAKE NEWS now).(function(d, s, id) {  var js, fjs = d.getElementsByTagName(s)[0];  if (d.getElementById(id)) return;  js = d.createElement(s); js.id = id;  js.src = ""//connect.facebook.net/en_US/sdk.js#xfbml=1&version=v2.10"";  fjs.parentNode.insertBefore(js, fjs);}(document, 'script', 'facebook-jssdk'));Want to know what President Trump did this week? Watch here for REAL news!Posted by Donald J. Trump on Sunday, July 30, 2017Naturally, Americans are completely unimpressed by this. Though a spattering of mindless dolts showed up to support Trump s new propaganda outlet, most comments on the video look like this:               At this point, we must wonder what it will take for Republicans to finally drum this tinpot wannabe dictator out of office.In the words of the great Frederick Douglass, who s done an amazing job and is getting recognized more and more,  Fuck this shit. Featured image via screengrab",News,"August 2, 2017"
9,GAY MARRIAGE APPROVED BY SUPREME COURT With Ironic Dissenting Opinion From Justice Roberts: “But this court is not a legislature”,"The  Fundamental Transformation  of America is almost complete. Even Barack Hussein Obama must be surprised by how few hurdles have been placed in his way In less than 24 hours, our leftist US Supreme Court delivered not one, but two sucker punches to the heart of America. The acts of these radical judicial activists will have a dramatic effect on our society and culture in the United States of America.    The Supreme Court declared Friday that same-sex couples have a right to marry anywhere in the United States.Gay and lesbian couples already could marry in 36 states and the District of Columbia. The court s 5-4 ruling means the remaining 14 states, in the South and Midwest, will have to stop enforcing their bans on same-sex marriage.The outcome is the culmination of two decades of Supreme Court litigation over marriage, and gay rights generally. Justice Anthony Kennedy wrote the majority opinion, just as he did in the court s previous three major gay rights cases dating back to 1996. It came on the anniversary of two of those earlier decisions. No union is more profound than marriage,  Kennedy wrote, joined by the court s four more liberal justices.The four dissenting justices each filed a separate opinion explaining their views. But this court is not a legislature. Whether same-sex marriage is a good idea should be of no concern to us,  Chief Justice John Roberts wrote in dissent. Roberts read a summary of his dissent from the bench, the first time he has done so in nearly 10 years as chief justice.Justice Antonin Scalia said he is not concerned so much about same-sex marriage, but about  this court s threat to American democracy.  Justices Samuel Alito and Clarence Thomas also dissented.The ruling will not take effect immediately because the court gives the losing side roughly three weeks to ask for reconsideration. But some state officials and county clerks might decide there is little risk in issuing marriage licenses to same-sex couples.The cases before the court involved laws from Kentucky, Michigan, Ohio and Tennessee that define marriage as the union of a man and a woman. Those states have not allowed same-sex couples to marry within their borders and they also have refused to recognize valid marriages from elsewhere.Just two years ago, the Supreme Court struck down part of the federal anti-gay marriage law that denied a range of government benefits to legally married same-sex couples.The decision in United States v. Windsor did not address the validity of state marriage bans, but courts across the country, with few exceptions, said its logic compelled them to invalidate state laws that prohibited gay and lesbian couples from marrying.The number of states allowing same-sex marriage has grown rapidly. As recently as October, just over one-third of the states permitted same-sex marriage.There are an estimated 390,000 married same-sex couples in the United States, according to UCLA s Williams Institute, which tracks the demographics of gay and lesbian Americans. Another 70,000 couples living in states that do not currently permit them to wed would get married in the next three years, the institute says. Roughly 1 million same-sex couples, married and unmarried, live together in the United States, the institute says.Via: AP News ",Government News,"Jun 26, 2015"
